Defense: 13																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
																															
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEDF:SetPosFromHike(C8 10)	 2pt	 LoopForward 0A		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
LOLB BF03:SetPosFromHike(18 0C)	 2pt	 LoopForward 0D		 D8-MoveAbsolute(1C 08)	 D8-MoveAbsolute(1C 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RCB BB06:SetPosFromMid(36 28)	 2pt	 27-JumpTo BB16:27-JumpTo BE1D:2E-JumpTo BE25:JumpTo BDF0:01-m2m-HB		 LoopBack FE// F4-Pause(1E)	 MoveRelative(00 81)	 JumpTo BDF0:01-m2m-HB	 LoopBack FE// JumpTo BE36:2E-JumpTo BDF8:03-m2m-WR1	 LoopBack FE// F4-Pause(1E)	 MoveRelative(00 81)	 JumpTo BDF8:03-m2m-WR1	 LoopBack FE// 27-JumpTo BC5A:C8-Move(88 B9 02)	 JumpTo B001:MoveRelative(00 50)	 F4-Pause(14)	 F5-Pause(3C 78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// D8-MoveAbsolute(D8 C8)	 JumpTo BDF4:02-m2m-FB	 LoopBack FE// 												
LCB B1D1:SetPosFromMid(C0 28)	 2pt	 29-JumpTo BE41:2E-JumpTo BE49:JumpTo BDFC:04-m2m-WR2		 LoopBack FE// F4-Pause(1E)	 MoveRelative(00 81)	 JumpTo BDFC:04-m2m-WR2	 LoopBack FE// 29-JumpTo BE00:05-m2m-TE	 LoopBack FE// LoopBack A9	 C8-Move(9A B9 03)	 D8-MoveAbsolute(E8 E8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																			
FS B8E9:SetPosFromHike(C8 50)	 2pt	 C8-Move(6C B9 04)		 27-JumpTo B904:D8-MoveAbsolute(D0 81)	 JumpTo B60C:27-JumpTo BDEC:F4-Pause(00)	 LoopBack FE// F4-Pause(14)	 F5-Pause(01 8C)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// F4-Pause(14)	 D8-MoveAbsolute(F4 EC)	 D8-MoveAbsolute(F4 F8)	 F4-Pause(14)	 F5-Pause(50 82)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 															
SS B8AF:SetPosFromHike(18 50)	 2pt	 C8-Move(51 B9 05)		 27-JumpTo B686:C8-Move(51 B9 05)	 MoveRelative(00 C8)	 JumpTo B60C:27-JumpTo BDEC:F4-Pause(00)	 LoopBack FE// F4-Pause(14)	 F5-Pause(01 8C)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// JumpTo B046:C8-Move(8E B9 05)	 27-JumpTo B056:D9-MoveAbsolute(C8 F8)	 F4-Pause(6E)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// D8-MoveAbsolute(28 00)	 F5-Pause(3C A0)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// 														
																															
																															
Defense: 15																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB B886:SetPosFromHike(C8 10)	 2pt	 27-JumpTo BEE9:C8-Move(7C B9 09)		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// JumpTo BE08:12-m2m-FB	 LoopBack EA	 02-m2m-FB	 LoopBack FE// 																			
RILB BC93:SetPosFromHike(E0 18)	 2pt	 C8-Move(E6 B9 06)		 JumpTo AFDF:MoveRelative(00 20)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LILB B4EE:SetPosFromHike(00 18)	 2pt	 C8-Move(CB B9 07)		 D8-MoveAbsolute(18 08)	 D8-MoveAbsolute(18 18)	 F4-Pause(3C)	 F5-Pause(1E 8C)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
LOLB BF03:SetPosFromHike(18 0C)	 2pt	 LoopForward 0D		 D8-MoveAbsolute(1C 08)	 D8-MoveAbsolute(1C 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RCB BB06:SetPosFromMid(36 28)	 2pt	 27-JumpTo BB16:27-JumpTo BE1D:2E-JumpTo BE25:JumpTo BDF0:01-m2m-HB		 LoopBack FE// F4-Pause(1E)	 MoveRelative(00 81)	 JumpTo BDF0:01-m2m-HB	 LoopBack FE// JumpTo BE36:2E-JumpTo BDF8:03-m2m-WR1	 LoopBack FE// F4-Pause(1E)	 MoveRelative(00 81)	 JumpTo BDF8:03-m2m-WR1	 LoopBack FE// 27-JumpTo BC5A:C8-Move(88 B9 02)	 JumpTo B001:MoveRelative(00 50)	 F4-Pause(14)	 F5-Pause(3C 78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// D8-MoveAbsolute(D8 C8)	 JumpTo BDF4:02-m2m-FB	 LoopBack FE// 												
LCB B1D1:SetPosFromMid(C0 28)	 2pt	 29-JumpTo BE41:2E-JumpTo BE49:JumpTo BDFC:04-m2m-WR2		 LoopBack FE// F4-Pause(1E)	 MoveRelative(00 81)	 JumpTo BDFC:04-m2m-WR2	 LoopBack FE// 29-JumpTo BE00:05-m2m-TE	 LoopBack FE// LoopBack A9	 C8-Move(9A B9 03)	 D8-MoveAbsolute(E8 E8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																			
FS BB1C:SetPosFromHike(C8 50)	 2pt	 27-JumpTo BB2E:27-JumpTo BE57:2E-JumpTo BE5F:JumpTo BE04:11-m2m-HB		 LoopBack EA	 01-m2m-HB	 LoopBack FE// F4-Pause(1E)	 MoveRelative(00 81)	 JumpTo BE04:11-m2m-HB	 LoopBack EA	 01-m2m-HB	 LoopBack FE// JumpTo BE78:D9-MoveAbsolute(36 B0)	 2E-JumpTo BE83:JumpTo BE0C:13-m2m-WR1	 LoopBack EA	 03-m2m-WR1	 LoopBack FE// F4-Pause(32)	 MoveRelative(00 81)	 JumpTo BE0C:13-m2m-WR1	 LoopBack EA	 03-m2m-WR1	 LoopBack FE// D8-MoveAbsolute(F8 90)	 F4-Pause(14)	 F5-Pause(0A 78)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// 							
SS B8DF:SetPosFromHike(18 50)	 2pt	 27-JumpTo BE86:2E-JumpTo BE98:JumpTo BE10:14-m2m-WR2		 LoopBack EA	 04-m2m-WR2	 LoopBack FE// D8-MoveAbsolute(18 B8)	 D8-MoveAbsolute(20 C0)	 D8-MoveAbsolute(30 C0)	 D9-MoveAbsolute(C0 B8)	 MoveRelative(00 81)	 JumpTo BE10:14-m2m-WR2	 LoopBack EA	 04-m2m-WR2	 LoopBack FE// JumpTo BE14:15-m2m-TE	 LoopBack EA	 05-m2m-TE	 LoopBack FE// 														
																															
																															
Defense: 16																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEE5:SetPosFromHike(C8 10)	 2pt	 C8-Move(7C B9 09)		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RILB BC61:SetPosFromHike(E0 18)	 2pt	 C8-Move(BC B9 06)		 JumpTo AFDF:MoveRelative(00 20)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LILB BC6C:SetPosFromHike(00 18)	 2pt	 C8-Move(C5 B9 07)		 JumpTo AFF0:MoveRelative(00 20)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LOLB BF03:SetPosFromHike(18 0C)	 2pt	 LoopForward 0D		 D8-MoveAbsolute(1C 08)	 D8-MoveAbsolute(1C 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RCB AFF9:SetPosFromMid(36 28)	 2pt	 C8-Move(94 B9 02)		 MoveRelative(00 50)	 F4-Pause(14)	 F5-Pause(3C 78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																						
LCB B00C:SetPosFromMid(C0 28)	 2pt	 C8-Move(9A B9 03)		 MoveRelative(00 50)	 F4-Pause(14)	 F5-Pause(3C 78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																						
FS B72C:SetPosFromHike(C8 50)	 2pt	 D8-MoveAbsolute(F0 81)		 27-JumpTo BDEC:F4-Pause(00)	 LoopBack FE// JumpTo B60C:27-JumpTo BDEC:F4-Pause(00)	 LoopBack FE// F4-Pause(14)	 F5-Pause(01 8C)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// 																						
SS B042:SetPosFromHike(18 50)	 2pt	 C8-Move(8E B9 05)		 27-JumpTo B056:D9-MoveAbsolute(C8 F8)	 F4-Pause(6E)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// D8-MoveAbsolute(28 00)	 F5-Pause(3C A0)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// 																					
																															
																															
Defense: 17																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEE5:SetPosFromHike(C8 10)	 2pt	 C8-Move(7C B9 09)		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RILB BC61:SetPosFromHike(E0 18)	 2pt	 C8-Move(BC B9 06)		 JumpTo AFDF:MoveRelative(00 20)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LILB BC6C:SetPosFromHike(00 18)	 2pt	 C8-Move(C5 B9 07)		 JumpTo AFF0:MoveRelative(00 20)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LOLB BF03:SetPosFromHike(18 0C)	 2pt	 LoopForward 0D		 D8-MoveAbsolute(1C 08)	 D8-MoveAbsolute(1C 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RCB BB34:SetPosFromMid(36 28)	 2pt	 29-JumpTo BE36:2E-JumpTo BDF8:03-m2m-WR1		 LoopBack FE// F4-Pause(1E)	 MoveRelative(00 81)	 JumpTo BDF8:03-m2m-WR1	 LoopBack FE// 27-JumpTo BB44:D8-MoveAbsolute(D0 D8)	 JumpTo BDF4:02-m2m-FB	 LoopBack FE// D8-MoveAbsolute(C0 00)	 JumpTo BDF0:01-m2m-HB	 LoopBack FE// 																				
LCB B57E:SetPosFromMid(C0 28)	 2pt	 29-JumpTo BE41:2E-JumpTo BE49:JumpTo BDFC:04-m2m-WR2		 LoopBack FE// F4-Pause(1E)	 MoveRelative(00 81)	 JumpTo BDFC:04-m2m-WR2	 LoopBack FE// 29-JumpTo B58B:D8-MoveAbsolute(1C D8)	 JumpTo BE00:05-m2m-TE	 LoopBack FE// JumpTo B010:C8-Move(9A B9 03)	 MoveRelative(00 50)	 F4-Pause(14)	 F5-Pause(3C 78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																
FS B72C:SetPosFromHike(C8 50)	 2pt	 D8-MoveAbsolute(F0 81)		 27-JumpTo BDEC:F4-Pause(00)	 LoopBack FE// JumpTo B60C:27-JumpTo BDEC:F4-Pause(00)	 LoopBack FE// F4-Pause(14)	 F5-Pause(01 8C)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// 																						
SS B042:SetPosFromHike(18 50)	 2pt	 C8-Move(8E B9 05)		 27-JumpTo B056:D9-MoveAbsolute(C8 F8)	 F4-Pause(6E)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// D8-MoveAbsolute(28 00)	 F5-Pause(3C A0)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// 																					
																															
																															
Defense: 18																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB B886:SetPosFromHike(C8 10)	 2pt	 27-JumpTo BEE9:C8-Move(7C B9 09)		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// JumpTo BE08:12-m2m-FB	 LoopBack EA	 02-m2m-FB	 LoopBack FE// 																			
RILB BC61:SetPosFromHike(E0 18)	 2pt	 C8-Move(BC B9 06)		 JumpTo AFDF:MoveRelative(00 20)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LILB BC6C:SetPosFromHike(00 18)	 2pt	 C8-Move(C5 B9 07)		 JumpTo AFF0:MoveRelative(00 20)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LOLB BF03:SetPosFromHike(18 0C)	 2pt	 LoopForward 0D		 D8-MoveAbsolute(1C 08)	 D8-MoveAbsolute(1C 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RCB BB34:SetPosFromMid(36 28)	 2pt	 29-JumpTo BE36:2E-JumpTo BDF8:03-m2m-WR1		 LoopBack FE// F4-Pause(1E)	 MoveRelative(00 81)	 JumpTo BDF8:03-m2m-WR1	 LoopBack FE// 27-JumpTo BB44:D8-MoveAbsolute(D0 D8)	 JumpTo BDF4:02-m2m-FB	 LoopBack FE// D8-MoveAbsolute(C0 00)	 JumpTo BDF0:01-m2m-HB	 LoopBack FE// 																				
LCB B57E:SetPosFromMid(C0 28)	 2pt	 29-JumpTo BE41:2E-JumpTo BE49:JumpTo BDFC:04-m2m-WR2		 LoopBack FE// F4-Pause(1E)	 MoveRelative(00 81)	 JumpTo BDFC:04-m2m-WR2	 LoopBack FE// 29-JumpTo B58B:D8-MoveAbsolute(1C D8)	 JumpTo BE00:05-m2m-TE	 LoopBack FE// JumpTo B010:C8-Move(9A B9 03)	 MoveRelative(00 50)	 F4-Pause(14)	 F5-Pause(3C 78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																
FS B30F:SetPosFromHike(C8 50)	 2pt	 27-JumpTo BE78:D9-MoveAbsolute(36 B0)		 2E-JumpTo BE83:JumpTo BE0C:13-m2m-WR1	 LoopBack EA	 03-m2m-WR1	 LoopBack FE// F4-Pause(32)	 MoveRelative(00 81)	 JumpTo BE0C:13-m2m-WR1	 LoopBack EA	 03-m2m-WR1	 LoopBack FE// D8-MoveAbsolute(B8 D8)	 D8-MoveAbsolute(B8 10)	 JumpTo BE04:11-m2m-HB	 LoopBack EA	 01-m2m-HB	 LoopBack FE// 														
SS B8DF:SetPosFromHike(18 50)	 2pt	 27-JumpTo BE86:2E-JumpTo BE98:JumpTo BE10:14-m2m-WR2		 LoopBack EA	 04-m2m-WR2	 LoopBack FE// D8-MoveAbsolute(18 B8)	 D8-MoveAbsolute(20 C0)	 D8-MoveAbsolute(30 C0)	 D9-MoveAbsolute(C0 B8)	 MoveRelative(00 81)	 JumpTo BE10:14-m2m-WR2	 LoopBack EA	 04-m2m-WR2	 LoopBack FE// JumpTo BE14:15-m2m-TE	 LoopBack EA	 05-m2m-TE	 LoopBack FE// 														
																															
																															
Defense: 19																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEDF:SetPosFromHike(C8 10)	 2pt	 LoopForward 0A		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RILB BC93:SetPosFromHike(E0 18)	 2pt	 C8-Move(E6 B9 06)		 JumpTo AFDF:MoveRelative(00 20)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LILB AFE8:SetPosFromHike(00 18)	 2pt	 C8-Move(82 B9 07)		 MoveRelative(00 20)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LOLB BF03:SetPosFromHike(18 0C)	 2pt	 LoopForward 0D		 D8-MoveAbsolute(1C 08)	 D8-MoveAbsolute(1C 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RCB AFF9:SetPosFromMid(36 28)	 2pt	 C8-Move(94 B9 02)		 MoveRelative(00 50)	 F4-Pause(14)	 F5-Pause(3C 78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																						
LCB B00C:SetPosFromMid(C0 28)	 2pt	 C8-Move(9A B9 03)		 MoveRelative(00 50)	 F4-Pause(14)	 F5-Pause(3C 78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																						
FS B6D7:SetPosFromHike(C8 50)	 2pt	 C8-Move(4B B9 04)		 D8-MoveAbsolute(C8 10)	 F4-Pause(C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
SS B8AF:SetPosFromHike(18 50)	 2pt	 C8-Move(51 B9 05)		 27-JumpTo B686:C8-Move(51 B9 05)	 MoveRelative(00 C8)	 JumpTo B60C:27-JumpTo BDEC:F4-Pause(00)	 LoopBack FE// F4-Pause(14)	 F5-Pause(01 8C)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// JumpTo B046:C8-Move(8E B9 05)	 27-JumpTo B056:D9-MoveAbsolute(C8 F8)	 F4-Pause(6E)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// D8-MoveAbsolute(28 00)	 F5-Pause(3C A0)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// 														
																															
																															
Defense: 1A																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEDF:SetPosFromHike(C8 10)	 2pt	 LoopForward 0A		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RILB BC93:SetPosFromHike(E0 18)	 2pt	 C8-Move(E6 B9 06)		 JumpTo AFDF:MoveRelative(00 20)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LILB AFE8:SetPosFromHike(00 18)	 2pt	 C8-Move(82 B9 07)		 MoveRelative(00 20)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LOLB BF03:SetPosFromHike(18 0C)	 2pt	 LoopForward 0D		 D8-MoveAbsolute(1C 08)	 D8-MoveAbsolute(1C 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RCB B930:SetPosFromMid(36 28)	 2pt	 29-JumpTo BE36:2E-JumpTo BDF8:03-m2m-WR1		 LoopBack FE// F4-Pause(1E)	 MoveRelative(00 81)	 JumpTo BDF8:03-m2m-WR1	 LoopBack FE// 26-JumpTo AFFD:C8-Move(94 B9 02)	 MoveRelative(00 50)	 F4-Pause(14)	 F5-Pause(3C 78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// D8-MoveAbsolute(C8 D8)	 JumpTo BDF4:02-m2m-FB	 LoopBack FE// 																
